,latitude,longitude,altitude,tz,country,state,county,wind_height
432520,37.97,-107.14,3567,-7,United States,Colorado,Hinsdale,2
432464,40.21,-107.14,2773,-7,United States,Colorado,Rio Blanco,2
396806,40.85,-108.74,2065,-7,United States,Colorado,Moffat,2
454914,39.89,-106.18,2713,-7,United States,Colorado,Grand,2
418085,38.61,-107.78,2387,-7,United States,Colorado,Montrose,2
447368,37.65,-106.5,2555,-7,United States,Colorado,Rio Grande,2
418085,38.61,-107.78,2387,-7,United States,Colorado,Montrose,2
447336,38.93,-106.5,3705,-7,United States,Colorado,Gunnison,2
454930,39.25,-106.18,3850,-7,United States,Colorado,Lake,2
486683,38.61,-104.9,1988,-7,United States,Colorado,El Paso,2
478486,39.25,-105.22,2079,-7,United States,Colorado,Douglas,2
454986,37.01,-106.18,2675,-7,United States,Colorado,Conejos,2
470349,40.53,-105.54,3074,-7,United States,Colorado,Larimer,2
425263,38.93,-107.46,2143,-7,United States,Colorado,Gunnison,2
478478,39.57,-105.22,2241,-7,United States,Colorado,Jefferson,2
478494,38.93,-105.22,2759,-7,United States,Colorado,Teller,2
432496,38.93,-107.14,3354,-7,United States,Colorado,Gunnison,2
454938,38.93,-106.18,2681,-7,United States,Colorado,Chaffee,2
470405,38.29,-105.54,2404,-7,United States,Colorado,Fremont,2
494909,37.97,-104.58,1690,-7,United States,Colorado,Pueblo,2
447328,39.25,-106.5,3550,-7,United States,Colorado,Pitkin,2
396814,40.53,-108.74,2265,-7,United States,Colorado,Moffat,2
418053,39.89,-107.78,2308,-7,United States,Colorado,Rio Blanco,2
454986,37.01,-106.18,2675,-7,United States,Colorado,Conejos,2
403854,38.93,-108.42,1502,-7,United States,Colorado,Mesa,2
418093,38.29,-107.78,2074,-7,United States,Colorado,Ouray,2
486715,37.33,-104.9,2489,-7,United States,Colorado,Las Animas,2
439770,40.53,-106.82,2340,-7,United States,Colorado,Routt,2
536555,37.97,-102.98,1210,-7,United States,Colorado,Bent,2
478542,37.01,-105.22,3223,-7,United States,Colorado,Costilla,2
425231,40.21,-107.46,2343,-7,United States,Colorado,Rio Blanco,2
396846,39.25,-108.74,1454,-7,United States,Colorado,Mesa,2
454946,38.61,-106.18,2838,-7,United States,Colorado,Chaffee,2
447384,37.01,-106.5,3108,-7,United States,Colorado,Archuleta,2
478502,38.61,-105.22,2118,-7,United States,Colorado,Fremont,2
439786,39.89,-106.82,2139,-7,United States,Colorado,Eagle,2
403870,38.29,-108.42,2034,-7,United States,Colorado,Montrose,2
470405,38.29,-105.54,2404,-7,United States,Colorado,Fremont,2
